reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at
b37782e3-eee2-469c-965e-6f896fd234c7,Mirna Putri,"ngelek banget apk nya,mana pas lgi butuh dia ngelek mulu",1,0,,2026-06-19 09:10:10
78b4dd73-4c8a-4c2d-81fe-a2e22a48ab8a,Azlina Farhan,"Kenapa edlink sekarang sering error, padahal sudah berkali-kali di upgrade mohon segera di perbaiki ya, terima kasih.",2,0,4.9.9.1,2026-06-15 14:42:32
f7a38a08-63e1-4a46-bf49-4385202f9279,Dhafin,"ada bug yg bikin kesel, ketika mau upload ke gdrive melalui edlink pasti disuruh ""Permission penyimpanan diperlukan"" tapi ketika dipencet malah gk ada opsi buat mengizinkan itu.",4,0,4.9.9.1,2026-06-15 03:58:02
fec267e7-f627-43f8-a8a8-40a5b8449a22,Tubagus Arya,"Apk sampah, kok gak bisa upload 3 file tugas sekaligus?",2,2,4.9.9.1,2026-06-13 09:58:08
f7a0b53f-1f2a-441f-8cc9-f31506b38e95,ibnu zacky,banyak bug,1,0,,2026-06-12 06:32:27
6a7d1219-f8f6-44c0-9351-1b19f808f817,Widy Astuti,kampus ungu icsada Bojonegoro memudahkan kami dalam belajar melalui program rpl dengan tenaga dosen yang ramah,5,0,4.9.9.1,2026-06-12 02:30:35
def7c1d8-0c2a-438f-851b-48e1c1a231fc,Teguh Iman Satrio,"halo min mohon maaf min mau bertanya, min ini kenapa ya saya mau mengunduh file dari dosen ga bisa di unduh kenapa ya? btw kalau ada bug atau error di update lagi secara bertahap aja min jangan lupa memikiran realistisnya juga min",1,0,4.9.9.1,2026-06-09 08:49:46
74239563-73a2-4aa7-b37e-297d5f937df2,RenxRen,lebih bagus versi sebelumnya,1,0,,2026-06-06 02:58:04
d4a0eee5-30eb-480c-9783-9a17880631a4,Muhammad Rezky,bisa lagi kembalikan fitur yang dulu sebelum versi sekarang ini karena Lebih susah akses materi sekarang daripada yang sebelumnya,1,1,4.9.9.1,2026-06-04 08:32:34
e66718d7-5a0e-4176-9ce9-885db0cb78bb,Fransiskustefi 07,sangat membantu,5,0,4.9.9.1,2026-06-03 00:20:15
1d20014f-960a-4834-8e71-7dfb993a1987,MUHAMMAD RIKY RAMADANI,"muter-muter pas ngerjain, bikin waktu ke pangkas",1,0,,2026-06-02 02:11:46
aa5b3e05-40eb-4257-9bea-dfa3ffdb9e84,Muhammad Haykal Rizqi,"spam notifikasi nilai tugas diterima pas di klik notifnya ga tertuju pada satu tugas hanya ada di beranda edlink, ini sangat menganggu.",1,1,4.9.9,2026-06-02 01:47:55
a3ec5205-4b40-4a80-aab7-5d939f84eb5d,Joy Nina,"Mohon evaluasi jadwal update aplikasi. Sangat merugikan jika update wajib dilakukan mendekati masa UTS/UAS. Tidak semua HP update otomatis, dan terkadang update di Play Store belum tersedia meski ujian dimulai. Akibatnya, saya dan teman-teman alami error saat kuis, nilai kosong karena dianggap tidak ikut ujian. Selain itu, aplikasi sering lag saat kuis meski internet stabil. Mohon buat ""masa tenang"" update saat ujian. Terima kasih.",3,3,4.9.9.1,2026-06-01 13:11:34
dc2d5c8a-45bb-4672-854d-00b812465481,Muhammad Ilham Khoiri,"kenapa tidak bisa terhubung ke internet yaa? saya mau ngumpulin tugas jadi tidak bisa apakah server error? sudah di uninstal tapi tetep sama, mohon perbaiki secepatnya.",1,0,4.9.9.1,2026-05-29 13:38:38
d43100b1-56d8-442b-8d3f-0a7b2f942144,Sakila Nadin,"saya upload tugas 5 kli pun gk kekirim k dosen, buat perbaikan lah ya, saya sampe gk ada nilai uts saya!",1,0,4.9.9.1,2026-05-29 01:10:39
5461c25b-da8d-4d0e-baed-f1b67a446a7d,Su dirman co 061 Riman,materi susah didownload jadi nial gw kecil,1,0,,2026-05-25 06:29:11
682bb1b2-244f-4227-8a27-141a4eaaa817,Ririn Eka Martanty,Easy to use,5,0,,2026-05-24 14:09:14
c2a58c82-edc8-42c5-9503-93ee74cd6fc8,ibnu Zacky,"jaringan lancar, tapi pas buka edlink lemot nya minta ampun, sama yang di web nya juga kadang gk bisa dibuka samsek",3,0,4.9.9.1,2026-05-23 05:22:15
760b68e7-541e-4880-ba1d-c6c418d7ec00,Muhammad Fadillah,"aplikasi jelek, banyak tugas👎👎👎",1,0,4.9.9.1,2026-05-23 03:38:36
58f3e151-8429-40ed-a841-20c73a0087f0,Eberon Bilambani,sangat membantu,5,0,4.9.9.1,2026-05-22 12:22:21
178d999e-f369-4f73-a1ac-9df26bd6ac0a,Inda Nurzazkia,"tolong dong min balikin fitur yang bisa lihat materi yg udah dibagikan sebelum sebelumnya, sama yg bisa lihat presensi. soalnya butuh bnaget yg itu",4,0,4.9.9.1,2026-05-22 00:44:21
4fb0453c-0cf6-4491-9cc6-f43c2c75b47e,CINTHIA YUNI YESENIA,"setelah diupdate aplikasinya, link filenya jadi tidak bisa dibuka. padahal dulu sebelum update, link filenya bisa dibuka dan ngak lag",5,0,,2026-05-20 03:11:38
49bf9bbd-9762-4f42-9011-5b402e3a87d7,Priyastiti N. Agustina,bagus,5,0,4.9.1,2026-05-19 13:42:30
2177a9be-33ec-44b2-ab62-6637fa0440ba,Lionel Harrison,min tolong dong servernya benerin ada tugas nih aduhhhh jadi gak bisa ngirimmm,5,0,,2026-05-19 12:18:34
6712d6f5-d00c-459a-8568-448882add588,Hilda Novarilyani,gak jelas satu aplikasi tapi tampilan beda-beda di tiap akun mahasiswa bikin mahasiswa sering ketinggalan informasi karena tampilannya gak sama merata,1,1,4.9.7,2026-05-19 08:45:53
6f008bfc-4e0f-4d57-9453-204890fb387c,Falah Nazhif,update yang luar bisaa👌🔥,5,0,4.9.8.6,2026-05-19 01:26:44
277a0e8b-27cf-4f80-9eb5-c9bd89e9e222,Martin Sarveno,gk bisa quiz,1,0,,2026-05-18 04:24:09
70eaa6af-b14b-44f7-be1c-f445ec7b9eaa,AI Management,Update kali ini mengecewakan..,1,0,4.9.9,2026-05-18 03:49:21
7588c6c6-e105-4beb-9ea5-60857fa51847,Zalatan Tatan,"saya sangat tidak suka dengan sistem yang baru ini, saya tidak bisa dengan leluasa dalam membuka semua sesi sesi yang ada",1,0,,2026-05-18 02:26:31
a224b3af-96b6-403a-8870-bf78d9a71cba,Sahrul Samsudin,update makin jelek anjir sekarang gak bisa liat detail kelasnya padahal sebelumnya bisa lihat waktu klik jadwal harian di kalender,1,0,,2026-05-17 11:22:01
41a9ee87-2b54-4c6b-b7e8-08937261b2db,Juan P,"Rapi, bagus overall. Tapi tolong buat supaya kalo mau up foto tugas jangan maks 10 mb, mau up banyak foto kami yang susah. sama kalo mau up foto dari galeri ke server, buat supaya jangan harus up satu-satu, capek",4,0,4.9.8.6,2026-05-12 15:47:04
23dd788c-e8a6-47bc-aa21-a90ce7913f74,Syafitrah alif Raihan,overall Aplikasi nya bagus sangat membantu tidak ada error atau bug Sama sekali saya suka aplikasi nya cukup membantu buat absensi saya di kuliah tingkatkan lagi ya,5,0,4.9.8.6,2026-05-08 18:21:17
00da9ea8-5412-476d-a3a1-f3b2a8d92028,Charly Ndarung,kaka kenapa saya punya pas login ada kesalahan server,2,0,,2026-05-08 01:21:36
9e58e642-75ec-4e68-a309-54399ff7160b,ronal max,ribet hapus aja aplikasinya,1,0,,2026-05-05 07:52:23
a8c94ee4-99b0-4d15-a566-5e6b8ad442ca,ronal gg,ruwet,1,0,4.9.8.6,2026-05-05 07:32:15
5ccebf7c-0be9-4d3c-9027-4b06ea84fc64,Zikra Mahkota Hasan 17,Tolong dioptimalkan lagi aplikasi edlink ini saya mau absen suka bermasalah Mulu kayak tidak valid lah padahal akun nya bener,1,0,4.9.8.6,2026-05-05 01:34:37
e6c9bc2b-be8d-460b-a60e-e8329bcb322b,Hasudungan Tambunan,"min hari ini edlink lagi error??? koga bisa masuk via google?? notifnya ""token tidak valid""",3,0,4.9.8.6,2026-05-04 23:51:50
6fa52b21-ecaf-4a07-ab1b-faac9d8c0dba,Elang Buana,"halo min, saya telah melakukan pembayaran namun status di aplikasi belum terkonfirmasi telah dibayar otomatis, dan saya sudah email namun belum juga ditindaklanjuti , tolong tambahkan fitur konfirmasi manual dengan memberikan bukti foto pembayaran. update uang sudah dikembalikan dan harus dilakukan pembayaran ulang.",5,0,4.9.8.6,2026-05-04 22:02:50
f2261622-6f0a-44a2-ad37-c67843028776,M. Zuhra Husnayan,kenapa opsi membayar dengan BSI dihilangkan ya? padahal sebelumnya ada. ini membuat saya susah dalam melakukan pembayaran,1,0,4.9.8.6,2026-05-04 07:22:57
2d9db710-ae59-41f7-ba22-3db5aaf9e86c,Mariano Henriques da Costa,aplikasi yang sangat bermaanfaat untuk belajar,5,0,4.9.8.6,2026-05-04 04:28:15
8af17c2d-347b-4d91-9ab6-af14dc62fa15,Abi Praya,awalnua berfungsi dengan baik. tapi akhir2 ini bermasalah... gimana dong ini,1,0,,2026-05-03 13:22:05
22b40386-df88-4930-bb05-9da8d557ac0f,Akang ojan,aplikasi error masa minta kode pas aku masukin kode verifikasi malah gak bisa udah berapa kali coba aneh,1,0,4.9.8.6,2026-05-02 14:20:26
92ae4745-dabe-4f49-b648-cbcb09e5dd57,SMAWAR BUDIDAYA,lengkap,5,0,4.9.8.6,2026-04-29 12:56:58
105d75a9-082f-47bc-a28d-ba2ffc006602,mzaidnal falah201,🙌makassih udah membantu bangetz 🤝🙏,4,0,4.9.8.6,2026-04-27 01:57:39
afb45f9a-163a-4dd8-8f45-39cea91fde2b,MARADONA TADJO TALLO,tolong perbaiki apk setiap kali saya buka selalu terjadi kesalahan pada server,1,0,4.9.8.6,2026-04-25 23:32:27
a05667b6-af30-437a-8a2e-fd084d8feee2,IB Official,ganti logo burung,5,0,4.9.8.6,2026-04-24 19:43:43
e74ec6c0-c193-4bac-974c-2ffd7f4fd0b5,Nomi,"please tambahkan fitur buat karakter dan asesorisnya. agar lebih menarik, buat seperti sistem game.",4,0,4.7.6,2026-04-24 13:44:20
8603a934-39c6-4cbf-a4b9-c63d3b8c572b,Eni Chan,"erorr mulu, ga bisa login",1,0,4.9.8.6,2026-04-22 14:23:35
cf410bb6-4b03-49e7-bb7c-2748986ddee6,Celica Amelia Putri,suka ngga bisa diakses,1,0,,2026-04-22 06:46:28
e2c89279-cf44-4669-89f3-4f9c04b832e9,galang S11 Galang,Aplikasinya masih banyak kekurangan nya contohnya pada saat apload tugas nya biar jaringan bagus tetap ada kendalanya,1,1,4.9.8.5,2026-04-20 14:10:54
4e437fdc-bf29-41f7-b77b-011518b1f026,RafliMauliddinS,"hilangkan sistem gak bisa di sreenshoot!!, tambahkan fitur absen upload dari galery!",2,0,4.9.8.5,2026-04-18 09:40:31
ae55ff82-0780-4c49-9b69-4b3934231452,Miya Sinuraya,keren,5,0,4.9.8.5,2026-04-16 17:09:17
337347ff-5ec3-4a41-b094-f0e46d0c48a4,IRVAN SUFMERA,tidak bisa di akses menggunakan wifi,1,1,4.9.8.5,2026-04-16 03:02:30
ecd26d78-035e-4687-9bd5-3c7bd2e24a06,anisa diana puspitasari,mempermudah bagi mahasiswa baru,5,0,4.9.8.5,2026-04-12 04:35:43
4e474253-07b8-4196-be36-5c77d8748228,Falsafah Al Amien,"min, coba tolong tambahin itu deh, fitur buat nambahin asdos ke kelas di edlink.",5,1,4.9.8.5,2026-04-11 06:10:28
9e156315-612d-4f4f-8a96-4daa15cde35d,Dimas,Tolong diperbaiki sistem kalendernya masa libur nasional tetap terjadwal padahal dari pihak kampus sudah di liburkan,1,0,4.9.8.4,2026-04-09 00:52:16
e603a238-1d2c-4bb9-9d08-8044ae47d32e,Khoolidiyyah Arika Husniyyah,tolong perbaiki lagi buat ruang penyimpanan nya dijadiin lebih dari 100mb karena saya gabisa ngumpulin tugass 😭😭 mau hapus tapi file nya masih dalam periode aktif,4,0,,2026-04-08 12:49:57
431bc47b-d103-4005-be6b-f5900e73bc12,Muh,"saya kasih bintang 4 dikarenakan aplikasi ini kurangnya di bagian pengumpulan tugas dengan ukuran hanya 10 mb untuk kedepannya mungkin boleh lebih dari 10 mb, untuk fitur yang lain aplikasi ini sudah sangat bagus",4,0,4.9.8,2026-04-04 15:21:56
4eb89ae7-c66d-432d-bcb8-2146509f071c,The pito Vito,terlalu banyak error,1,0,4.9.8,2026-04-02 09:58:08
c5113118-2cd8-43b4-8762-6ca35f6992bb,Catharsis Catalyst,"tolong tambahkan fitur upload scan qr dengan screenshot, orang yang hanya memiliki 1 device dan digunakan untuk zoom jadi tidak bisa scan pada layar yang di bagikan, hal ini sangat menyusahkan ketika zoom",1,9,4.9.8.4,2026-04-02 09:49:22
